-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
triton_poi_fused__scaled_mm__to_copy_clamp_mul_recip...         0.02%      31.604ms         0.04%      51.090ms      13.305us     325.819ms         0.37%     325.819ms      84.849us           0 B           0 B           0 B           0 B          3840  
triton_poi_fused__scaled_mm__to_copy_clamp_clone_mul...         0.02%      24.708ms         0.38%     517.050ms     134.648us     304.807ms         0.34%     304.807ms      79.377us           0 B           0 B           0 B           0 B          3840  
triton_poi_fused__scaled_mm__to_copy_clamp_clone_mul...         0.00%       0.000us         0.00%       0.000us       0.000us     304.807ms         0.34%     304.807ms      79.377us           0 B           0 B           0 B           0 B          3840  
                              nccl:_reduce_scatter_base         0.00%       0.000us         0.00%       0.000us       0.000us     287.581ms         0.33%     287.581ms     798.836us           0 B           0 B           0 B           0 B           360  
                            triton_per_fused_abs_max_39         0.02%      25.371ms         0.23%     307.266ms      80.017us     283.692ms         0.32%     283.692ms      73.878us           0 B           0 B           0 B           0 B          3840  
                            triton_per_fused_abs_max_39         0.00%       0.000us         0.00%       0.000us       0.000us     283.692ms         0.32%     283.692ms      73.878us           0 B           0 B           0 B           0 B          3840  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us     279.495ms         0.32%     279.495ms     776.375us           0 B           0 B           0 B           0 B           360  
                                  nccl:_all_gather_base         0.00%       0.000us         0.00%       0.000us       0.000us     279.495ms         0.32%     279.495ms     776.375us           0 B           0 B           0 B           0 B           360  
triton_poi_fused__scaled_mm__to_copy_clamp_mul_t_vie...         0.00%       0.000us         0.00%       0.000us       0.000us     275.521ms         0.31%     275.521ms      17.938us           0 B           0 B           0 B           0 B         15360  
triton_poi_fused__scaled_mm__to_copy_clamp_mul_t_vie...         0.07%      94.729ms         0.12%     158.220ms      10.301us     275.484ms         0.31%     275.484ms      17.935us           0 B           0 B           0 B           0 B         15360  
## Call CompiledFxGraph f7cifaupobk5m3lr3vncrka43ywd...         0.00%       0.000us         0.00%       0.000us       0.000us     268.338ms         0.30%     268.338ms      13.417ms           0 B           0 B           0 B           0 B            20  
triton_poi_fused__unsafe_view_embedding_dense_backwa...         0.02%      25.557ms         0.10%     141.395ms      33.989us     251.922ms         0.28%     251.922ms      60.558us           0 B           0 B           0 B           0 B          4160  
triton_poi_fused__unsafe_view_embedding_dense_backwa...         0.00%       0.000us         0.00%       0.000us       0.000us     251.922ms         0.28%     251.922ms      60.558us           0 B           0 B           0 B           0 B          4160  
                           triton_poi_fused__to_copy_13         0.07%      98.240ms         1.05%        1.428s      92.969us     248.675ms         0.28%     248.675ms      16.190us           0 B           0 B           0 B           0 B         15360  
                           triton_poi_fused__to_copy_13         0.00%       0.000us         0.00%       0.000us       0.000us     248.675ms         0.28%     248.675ms      16.190us           0 B           0 B           0 B           0 B         15360  
              nvjet_tst_192x192_64x3_2x1_v_bz_coopB_NNN         0.00%       0.000us         0.00%       0.000us       0.000us     248.255ms         0.28%     248.255ms     413.758us           0 B           0 B           0 B           0 B           600  
                            triton_red_fused_abs_max_15         0.06%      85.224ms         0.11%     144.246ms       9.391us     235.937ms         0.27%     235.937ms      15.360us           0 B           0 B           0 B           0 B         15360  
                            triton_red_fused_abs_max_15         0.00%       0.000us         0.00%       0.000us       0.000us     235.937ms         0.27%     235.937ms      15.360us           0 B           0 B           0 B           0 B         15360  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 136.444s
Self CUDA time total: 88.468s
